SaleID,CustomerID,CarModel,FuelType,City,SaleDate,Price,SalesPersonID
20001,100000,i20,Electric,Hyderabad,9/4/2024,881926,50
20002,100001,Swift,Electric,Chennai,3/19/2024,1763364,15
20003,100002,Verna,Diesel,Hyderabad,11/1/2024,859163,10
20004,100003,City,CNG,Bangalore,2/5/2024,1578002,21
20005,100004,i20,Petrol,Hyderabad,12/14/2024,836295,28
20006,100005,Baleno,Diesel,Mumbai,7/19/2024,1084987,4
20007,100006,Venue,Electric,Delhi,10/3/2024,1208138,21
20008,100007,i20,Diesel,Chennai,10/7/2024,1016889,34
20009,100008,Creta,Diesel,Chennai,10/3/2024,1231394,30
20010,100009,City,CNG,Pune,10/27/2024,1124980,39
20011,100010,Venue,Diesel,Chennai,10/9/2024,1208140,2
20012,100011,XUV300,Electric,Bangalore,2/14/2024,916538,33
20013,100012,City,Electric,Pune,2/8/2024,1645532,15
20014,100013,i20,CNG,Chennai,3/27/2024,1626579,16
20015,100014,XUV300,CNG,Chennai,11/20/2024,801355,50
20016,100015,Venue,CNG,Chennai,7/26/2024,1752764,49
20017,100016,Venue,CNG,Pune,3/25/2024,1376536,41
20018,100017,Verna,Diesel,Chennai,9/30/2024,739947,43
20019,100018,Baleno,Diesel,Bangalore,9/5/2024,1679762,24
20020,100019,Venue,Diesel,Chennai,2/16/2024,1244051,1
20021,100020,Swift,Petrol,Chennai,2/23/2024,807585,36
20022,100021,i20,Electric,Mumbai,10/9/2024,789779,16
20023,100022,XUV300,Electric,Bangalore,1/13/2024,1384020,32
20024,100023,Venue,CNG,Delhi,4/15/2024,534953,28
20025,100024,Swift,Electric,Pune,11/10/2024,867413,44
20026,100025,Baleno,Petrol,Pune,3/19/2024,661641,41
20027,100026,Creta,CNG,Delhi,11/2/2024,1382195,6
20028,100027,XUV300,Diesel,Hyderabad,10/13/2024,1451951,7
20029,100028,i20,Electric,Delhi,12/17/2024,1022043,27
20030,100029,Venue,Petrol,Bangalore,2/9/2024,850795,46
20031,100030,Verna,CNG,Bangalore,10/14/2024,1719655,35
20032,100031,Baleno,Electric,Bangalore,5/30/2024,1729822,16
20033,100032,Swift,Diesel,Delhi,2/24/2024,1050943,2
20034,100033,Verna,Diesel,Delhi,9/17/2024,1165577,14
20035,100034,XUV300,Electric,Delhi,8/10/2024,1431685,14
20036,100035,i20,Diesel,Mumbai,4/5/2024,1520045,30
20037,100036,Swift,Petrol,Hyderabad,7/8/2024,639386,8
20038,100037,Baleno,Diesel,Pune,6/19/2024,1129922,1
20039,100038,Verna,Electric,Chennai,4/14/2024,541458,7
20040,100039,i20,Diesel,Mumbai,5/5/2024,1525942,6
